,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
65,-72.42472,-30.801904444444443,-40.528681429536654,-37.47065863633015,0.0,144.5,22.83003762534688,56.927824333333334,1437.5041281111112,330.7013458888889,69.13181266666666,-6.634884111111111,6.7927533333333345,10.09832,56.26345533333333,52.275729,12.284199888888889,42.92806522222222,1767.3258311111108,0.5499107704228016,0.0
66,-72.42472,-30.801904444444443,-41.21098516094098,-36.80332799413301,0.0,154.5,22.859298302655755,56.710414666666665,1432.1151263333334,627.1519461111111,66.73708655555555,-8.80771311111111,10.438593666666668,-23.006296222222222,43.249016888888896,58.02469533333334,11.972811444444444,54.87494444444444,1767.3258311111108,0.9577484641337038,0.0
67,-72.42472,-30.801904444444443,-41.52960792362195,-34.26647167259214,0.0,164.5,17.62998674745105,56.61961622222223,1345.1666705555556,258.41538811111116,45.39341255555556,-5.793855555555555,3.0158519999999993,-27.432341444444443,26.51370988888889,51.69591444444444,14.567714666666665,63.06173533333333,1767.3258311111108,1.1006349047794886,0.0
68,-71.59928000000001,-26.355067777777784,-70.86626346481118,-26.913345705713585,0.0,4.5,43.707697480086566,55.86576022222222,2430.5602905555556,2430.5602905555556,74.63173987654321,44.28177666666667,-18.142665061728394,11.019181358024689,92.56152283950617,33.61381888888889,9.331363888888891,20.000665555555557,2269.479610000001,0.34907746632389336,1.0
69,-71.59928000000001,-26.355067777777784,-69.02916912345916,-28.18936407581205,0.0,14.5,56.37101136250952,55.929902777777784,2882.0990147777784,2882.0990147777784,88.13383666666668,54.86338244444445,-22.645265111111115,11.397404555555555,110.42248688888887,45.562499555555554,9.331219555555554,22.17359011111111,2269.479610000001,0.38700215311150077,1.0
70,-71.59928000000001,-26.355067777777784,-66.65358592724482,-29.583659419465175,0.0,24.5,63.08790768855373,56.010778888888886,2884.7252623333334,2882.225095888889,69.52004811111112,58.16039111111111,-26.522581666666667,11.603694111111112,92.80050511111111,44.39350022222222,8.651979555555556,26.404129444444447,2269.479610000001,0.4608389965131736,1.0
71,-71.59928000000001,-26.355067777777784,-64.01848427696251,-30.431694200611652,0.0,34.5,56.6203261478743,56.06244355555555,2886.7546523333335,2886.7546523333335,23.994483444444445,31.568850888888885,-26.05789111111111,-0.6141418888888887,44.384859999999996,21.997905,7.795353444444444,20.245232777777776,2269.479610000001,0.35334598995018845,1.0
72,-71.59928000000001,-26.355067777777784,-61.464856973245006,-31.302835719165053,0.0,44.5,47.90393529845453,60.38757011111111,3829.578978777778,3453.4713928888896,46.496177333333335,35.99901066666668,-23.972292888888887,14.144151777777775,61.86789477777778,4.024610444444446,7.636366111111111,10.228386333333335,2269.479610000001,0.058781405130984364,1.0
73,-71.59928000000001,-26.355067777777784,-58.79987798600882,-30.764336898283453,0.0,54.5,37.975816638531974,58.24740522222222,3178.5633534444446,2992.387901888889,14.352410222222227,-38.93237622222223,-23.50679433333333,-32.186935444444444,33.169415666666666,-30.97921622222222,9.920182,48.65536133333334,2269.479610000001,-0.06979293510030389,0.0
74,-71.59928000000001,-26.355067777777784,-56.00855133849389,-29.015277353175474,0.0,64.5,29.886088969643538,55.88506188888888,2037.319021666667,2037.319021666667,-15.581540222222225,14.732443555555557,-26.074596222222226,-11.925111,7.646706444444445,2.9804848888888893,11.610101333333334,59.5875898888889,2269.479610000001,1.0057638544282685,1.0
